Metric,Base,Fine-tuned,Delta,Result
Avg dist (px),1.178,1.178,0.0000,✗ Worse
p50 dist (px),1.101,1.101,0.0000,✗ Worse
p90 dist (px),1.946,1.946,0.0000,✗ Worse
mOKS,0.919,0.919,0.0000,✓ Better
mAP,0.857,0.857,0.0000,✓ Better
mAR,0.885,0.885,0.0000,✓ Better
mPCK,0.699,0.699,0.0000,✓ Better
PCK@5px,0.747,0.747,0.0000,✓ Better
Vis Precision,0.983,0.983,0.0000,✓ Better
Vis Recall,0.996,0.996,0.0000,✓ Better
FP rate (%),5.204,5.204,0.0000,✗ Worse
FN rate (%),0.370,0.370,0.0000,✗ Worse
CR_frame (%),15.000,15.000,0.0000,✗ Worse
MPE px,1.163,1.163,0.0000,✗ Worse
TD px/fr,1.169,1.169,0.0000,✗ Worse
CR_kp %,1.667,1.667,0.0000,✗ Worse
